TEST CASE NO,TEST CASE DESCRIPITION,FIRST NAME,MIDDLE NAME,LASE NAME,EMPLOYEE ID,ANUAL CTC,REPORTING MANAGER,ROLE,PHONE NUMBER,EMAIL ID,PASSWORD,DOB,GENDER,OFF EMAIL,DEPARTMENT,SUBDEPARTMENT,DESIGNATION,JOB TITLE,WORK LOCATION,EMPLOYEE TYPE,PP,DOJ,ACC HOLDER NAME,BANK NAME,CITY,BRANCH NAME,IFSC CODE,ACC NUMBER,EXPECTED RESULT,ACTUAL RESULT,RESULT,REMARKS

1.0,Blank First name,,Gill,Singh,VP0007,600000,Vilas H J-PV0001,Manager,1234567890,Gill@gmail.com,Gill@1234,11/01/2000,Male,Gill1@gmail.com,Testing Team,Automation Testing,Senior Manager,Engineer,Banglore,Full Time,30,11/01/2022,Gill,Canara Bank,Punjab,Amritsar,CNRB0000123,1234567890,This field is required,This field is required,PASS,Some fields are missing or blank

2.0,Blank Employee ID,Shubman,Gill,Singh,,600000,Vilas H J-PV0001,Manager,1234567890,Gill@gmail.com,Gill@1234,11/01/2000,Male,Gill1@gmail.com,Testing Team,Automation Testing,Senior Manager,Engineer,Banglore,Full Time,30,11/01/2022,Gill,Canara Bank,Punjab,Amritsar,CNRB0000123,1234567890,This field is required,This field is required,PASS,Some fields are missing or blank

3.0,Blank CTC,Shubman,Gill,Singh,VP0007,,Vilas H J-PV0001,Manager,1234567890,Gill@gmail.com,Gill@1234,11/01/2000,Male,Gill1@gmail.com,Testing Team,Automation Testing,Senior Manager,Engineer,Banglore,Full Time,30,11/01/2022,Gill,Canara Bank,Punjab,Amritsar,CNRB0000123,1234567890,This field is required,This field is required,PASS,Some fields are missing or blank

4.0,Blank Role,Shubman,Gill,Singh,VP0007,600000,Vilas H J-PV0001,null,1234567890,Gill@gmail.com,Gill@1234,11/01/2000,Male,Gill1@gmail.com,Testing Team,Automation Testing,Senior Manager,Engineer,Banglore,Full Time,30,11/01/2022,Gill,Canara Bank,Punjab,Amritsar,CNRB0000123,1234567890,This field is required,This field is required,PASS,Some fields are missing or blank

5.0,Blank Phone Number,Shubman,Gill,Singh,VP0007,600000,Vilas H J-PV0001,Manager,,Gill@gmail.com,Gill@1234,11/01/2000,Male,Gill1@gmail.com,Testing Team,Automation Testing,Senior Manager,Engineer,Banglore,Full Time,30,11/01/2022,Gill,Canara Bank,Punjab,Amritsar,CNRB0000123,1234567890,This field is required,This field is required,PASS,Some fields are missing or blank

